5	50	100
0	61	29	
1	61	7	
2	88	87	
3	86	91	
4	93	69	
10	31	67	10
11	5	84	10
12	93	85	10
13	73	13	10
14	15	57	10
15	55	83	10
16	98	45	10
17	96	60	10
18	58	35	10
19	70	25	10
20	62	68	10
21	69	78	10
22	81	1	10
23	34	48	10
24	97	20	10
25	23	86	10
26	90	80	10
27	44	45	10
28	96	7	10
29	53	23	10
30	51	45	10
31	8	79	10
32	58	66	10
33	61	43	10
34	30	31	10
35	58	31	10
36	97	57	10
37	76	87	10
38	74	36	10
39	43	44	10
40	60	78	10
41	100	3	10
42	17	74	10
43	82	92	10
44	21	81	10
45	68	54	10
46	44	63	10
47	85	74	10
48	1	88	10
49	33	86	10
50	16	31	10
51	32	34	10
52	98	18	10
53	30	39	10
54	5	31	10
55	26	14	10
56	92	6	10
57	14	7	10
58	56	81	10
59	45	40	10
