5 50 200
0 43 13
1 78 9
2 23 53
3 27 91
4 18 18
10 83 42 10
11 40 7 10
12 46 94 10
13 28 37 10
14 36 4 10
15 51 52 10
16 8 12 10
17 57 83 10
18 40 76 10
19 44 75 10
20 26 51 10
21 60 45 10
22 96 64 10
23 45 41 10
24 67 34 10
25 9 91 10
26 74 46 10
27 69 47 10
28 87 21 10
29 76 78 10
30 64 34 10
31 93 58 10
32 52 84 10
33 79 47 10
34 80 92 10
35 38 3 10
36 99 73 10
37 7 5 10
38 52 10 10
39 50 74 10
40 29 12 10
41 74 23 10
42 14 82 10
43 5 72 10
44 57 64 10
45 70 52 10
46 71 58 10
47 45 86 10
48 19 36 10
49 56 9 10
50 79 90 10
51 85 20 10
52 75 61 10
53 81 25 10
54 83 33 10
55 89 33 10
56 99 91 10
57 19 83 10
58 26 4 10
59 51 49 10
