10 50 150
0 27 14
1 50 14
2 10 8
3 57 87
4 75 58
5 56 83
6 1 14
7 92 23
8 25 89
9 86 67
10 80 26 10
11 79 72 10
12 20 91 10
13 14 81 10
14 38 87 10
15 64 65 10
16 97 87 10
17 54 12 10
18 57 69 10
19 52 35 10
20 93 43 10
21 44 60 10
22 21 91 10
23 59 82 10
24 73 77 10
25 0 12 10
26 6 62 10
27 42 16 10
28 22 34 10
29 47 1 10
30 4 7 10
31 89 62 10
32 34 22 10
33 90 22 10
34 89 35 10
35 60 41 10
36 93 56 10
37 75 65 10
38 63 11 10
39 85 75 10
40 88 30 10
41 51 66 10
42 26 65 10
43 15 83 10
44 8 20 10
45 31 2 10
46 77 85 10
47 26 55 10
48 78 95 10
49 47 71 10
50 98 51 10
51 43 52 10
52 30 14 10
53 68 33 10
54 19 92 10
55 77 42 10
56 43 57 10
57 44 72 10
58 51 52 10
59 34 61 10
