10 50 200
0 88 10
1 12 94
2 94 2
3 91 24
4 48 1
5 74 7
6 34 24
7 1 38
8 70 21
9 99 46
10 34 31 10
11 42 49 10
12 19 56 10
13 68 36 10
14 54 93 10
15 80 36 10
16 89 28 10
17 26 90 10
18 19 63 10
19 28 59 10
20 57 86 10
21 24 63 10
22 5 65 10
23 98 22 10
24 75 91 10
25 42 21 10
26 40 66 10
27 23 51 10
28 40 54 10
29 94 52 10
30 24 21 10
31 77 60 10
32 9 66 10
33 98 49 10
34 96 4 10
35 82 30 10
36 69 13 10
37 24 50 10
38 80 75 10
39 38 54 10
40 1 42 10
41 42 28 10
42 2 57 10
43 60 65 10
44 97 75 10
45 10 45 10
46 54 26 10
47 17 18 10
48 27 83 10
49 31 77 10
50 85 94 10
51 27 30 10
52 90 11 10
53 98 22 10
54 54 64 10
55 94 56 10
56 94 58 10
57 85 82 10
58 73 52 10
59 59 30 10
