20 50 200
0 61 29
1 61 7
2 88 87
3 86 91
4 93 69
5 72 68
6 26 26
7 31 34
8 85 59
9 79 7
10 72 30
11 18 99
12 16 35
13 67 58
14 38 60
15 25 14
16 52 98
17 96 51
18 70 32
19 9 34
20 31 67 10
21 5 84 10
22 93 85 10
23 73 13 10
24 15 57 10
25 55 83 10
26 98 45 10
27 96 60 10
28 58 35 10
29 70 25 10
30 62 68 10
31 69 78 10
32 81 1 10
33 34 48 10
34 97 20 10
35 23 86 10
36 90 80 10
37 44 45 10
38 96 7 10
39 53 23 10
40 51 45 10
41 8 79 10
42 58 66 10
43 61 43 10
44 30 31 10
45 58 31 10
46 97 57 10
47 76 87 10
48 74 36 10
49 43 44 10
50 60 78 10
51 100 3 10
52 17 74 10
53 82 92 10
54 21 81 10
55 68 54 10
56 44 63 10
57 85 74 10
58 1 88 10
59 33 86 10
60 16 31 10
61 32 34 10
62 98 18 10
63 30 39 10
64 5 31 10
65 26 14 10
66 92 6 10
67 14 7 10
68 56 81 10
69 45 40 10
