20 50 200
0 43 13
1 78 9
2 23 53
3 27 91
4 18 18
5 74 1
6 51 84
7 35 58
8 76 51
9 13 46
10 33 4
11 28 73
12 45 29
13 44 21
14 33 47
15 7 100
16 85 100
17 8 76
18 65 78
19 61 44
20 83 42 10
21 40 7 10
22 46 94 10
23 28 37 10
24 36 4 10
25 51 52 10
26 8 12 10
27 57 83 10
28 40 76 10
29 44 75 10
30 26 51 10
31 60 45 10
32 96 64 10
33 45 41 10
34 67 34 10
35 9 91 10
36 74 46 10
37 69 47 10
38 87 21 10
39 76 78 10
40 64 34 10
41 93 58 10
42 52 84 10
43 79 47 10
44 80 92 10
45 38 3 10
46 99 73 10
47 7 5 10
48 52 10 10
49 50 74 10
50 29 12 10
51 74 23 10
52 14 82 10
53 5 72 10
54 57 64 10
55 70 52 10
56 71 58 10
57 45 86 10
58 19 36 10
59 56 9 10
60 79 90 10
61 85 20 10
62 75 61 10
63 81 25 10
64 83 33 10
65 89 33 10
66 99 91 10
67 19 83 10
68 26 4 10
69 51 49 10
