20 75 200
0 13 59
1 67 81
2 30 86
3 88 47
4 49 27
5 6 14
6 15 78
7 66 71
8 60 100
9 90 83
10 52 38
11 21 68
12 87 43
13 27 8
14 90 64
15 68 56
16 80 21
17 62 57
18 99 85
19 6 23
20 17 47 10
21 93 88 10
22 24 76 10
23 98 61 10
24 33 49 10
25 54 82 10
26 33 46 10
27 88 64 10
28 38 8 10
29 24 98 10
30 66 50 10
31 69 31 10
32 3 33 10
33 7 69 10
34 36 76 10
35 93 51 10
36 89 86 10
37 85 30 10
38 35 48 10
39 91 43 10
40 77 10 10
41 38 74 10
42 82 95 10
43 27 2 10
44 38 12 10
45 85 79 10
46 30 74 10
47 42 4 10
48 55 38 10
49 70 80 10
50 67 45 10
51 32 17 10
52 1 48 10
53 61 55 10
54 19 25 10
55 3 62 10
56 16 45 10
57 95 33 10
58 57 72 10
59 23 63 10
60 17 12 10
61 62 30 10
62 70 92 10
63 3 28 10
64 39 79 10
65 31 7 10
66 19 20 10
67 7 57 10
68 49 96 10
69 5 57 10
70 75 93 10
71 79 16 10
72 71 4 10
73 0 23 10
74 99 89 10
75 88 34 10
76 99 44 10
77 61 40 10
78 99 84 10
79 42 60 10
80 96 13 10
81 57 73 10
82 74 25 10
83 26 46 10
84 56 47 10
85 94 73 10
86 54 27 10
87 96 55 10
88 74 14 10
89 42 26 10
90 51 98 10
91 10 66 10
92 74 4 10
93 57 51 10
94 26 57 10
