5 75 200
0 72 84
1 97 33
2 3 45
3 99 95
4 95 32
20 95 82 10
21 30 65 10
22 36 46 10
23 18 32 10
24 91 19 10
25 54 4 10
26 16 68 10
27 99 60 10
28 33 66 10
29 21 77 10
30 22 33 10
31 19 65 10
32 63 8 10
33 46 56 10
34 12 25 10
35 67 52 10
36 87 72 10
37 82 63 10
38 11 12 10
39 84 95 10
40 99 43 10
41 67 8 10
42 7 53 10
43 36 3 10
44 72 3 10
45 90 51 10
46 8 92 10
47 66 18 10
48 79 94 10
49 38 14 10
50 6 25 10
51 49 66 10
52 34 29 10
53 19 5 10
54 39 22 10
55 95 68 10
56 97 35 10
57 27 23 10
58 14 70 10
59 2 24 10
60 92 24 10
61 53 98 10
62 20 40 10
63 50 0 10
64 66 22 10
65 27 64 10
66 75 7 10
67 96 74 10
68 82 82 10
69 49 42 10
70 16 23 10
71 96 85 10
72 73 86 10
73 100 78 10
74 70 94 10
75 78 64 10
76 26 20 10
77 9 90 10
78 6 37 10
79 19 28 10
80 80 63 10
81 66 57 10
82 21 45 10
83 34 98 10
84 66 84 10
85 89 81 10
86 6 55 10
87 52 17 10
88 81 46 10
89 69 46 10
90 27 99 10
91 96 30 10
92 28 34 10
93 74 45 10
94 62 69 10
