10 75 200
0 17 7
1 39 45
2 84 66
3 0 61
4 37 44
5 57 86
6 0 91
7 75 22
8 47 4
9 45 53
20 3 2 10
21 51 58 10
22 70 71 10
23 90 39 10
24 23 89 10
25 80 12 10
26 91 93 10
27 54 4 10
28 7 37 10
29 30 29 10
30 83 31 10
31 56 66 10
32 44 39 10
33 87 83 10
34 49 6 10
35 11 90 10
36 45 19 10
37 60 22 10
38 19 2 10
39 33 55 10
40 28 64 10
41 62 98 10
42 91 67 10
43 69 12 10
44 98 44 10
45 48 82 10
46 54 9 10
47 12 70 10
48 3 45 10
49 59 7 10
50 2 20 10
51 57 63 10
52 9 86 10
53 45 27 10
54 38 33 10
55 78 25 10
56 42 37 10
57 95 15 10
58 96 43 10
59 22 73 10
60 25 11 10
61 15 38 10
62 91 12 10
63 76 17 10
64 67 53 10
65 25 41 10
66 71 19 10
67 26 77 10
68 10 65 10
69 78 56 10
70 79 60 10
71 91 21 10
72 58 91 10
73 72 92 10
74 6 46 10
75 60 90 10
76 64 81 10
77 87 3 10
78 22 64 10
79 50 26 10
80 52 100 10
81 14 45 10
82 63 76 10
83 34 19 10
84 11 73 10
85 83 96 10
86 68 98 10
87 28 26 10
88 40 3 10
89 78 77 10
90 44 51 10
91 42 52 10
92 51 81 10
93 32 20 10
94 90 5 10
